種類,キャラクター,テキスト,画像
title,,<ruby>関ヶ原<rt>せきがはら</rt></ruby><ruby>概要<rt>がいよう</rt></ruby><ruby>編<rt>へん</rt></ruby>,
image,,なしなしなしなしなしなし,関ヶ原の位置＋西軍8万vs東軍7万
dialog,サリー1,<ruby>関ヶ原<rt>せきがはら</rt></ruby>の<ruby>戦<rt>たたか</rt></ruby>いっていうのは、ちょうど<ruby>世紀<rt>せいき</rt></ruby>が<ruby>変<rt>か</rt></ruby>わる1600<ruby>年<rt>ねん</rt></ruby>の9<ruby>月<rt>がつ</rt></ruby>15<ruby>日<rt>にち</rt></ruby>、<ruby>今<rt>いま</rt></ruby>で<ruby>言<rt>い</rt></ruby>うところの10<ruby>月<rt>がつ</rt></ruby>21<ruby>日<rt>にち</rt></ruby>に、<ruby>岐阜県<rt>ぎふけん</rt></ruby>の<ruby>西<rt>にし</rt></ruby>の<ruby>端<rt>はし</rt></ruby>っこ、<ruby>関ヶ原<rt>せきがはら</rt></ruby>という<ruby>場所<rt>ばしょ</rt></ruby>で<ruby>起<rt>お</rt></ruby>きた、<ruby>大<rt>おお</rt></ruby>きな<ruby>戦<rt>たたか</rt></ruby>いよ。<ruby>徳川<rt>とくがわ</rt></ruby><ruby>家康<rt>いえやす</rt></ruby><ruby>率<rt>ひき</rt></ruby>いる<ruby>東軍<rt>とうぐん</rt></ruby><ruby>約<rt>やく</rt></ruby>7<ruby>万<rt>まん</rt></ruby><ruby>人<rt>ひと</rt></ruby>と、<ruby>総<rt>そう</rt></ruby><ruby>大将<rt>たいしょう</rt></ruby><ruby>毛利<rt>もうり</rt></ruby><ruby>輝元<rt>てるもと</rt></ruby>の<ruby>代<rt>か</rt></ruby>わりとして<ruby>石田三成<rt>いしだみつなり</rt></ruby>が<ruby>率<rt>ひき</rt></ruby>いた<ruby>西軍<rt>せいぐん</rt></ruby><ruby>約<rt>やく</rt></ruby>8<ruby>万<rt>まん</rt></ruby><ruby>人<rt>ひと</rt></ruby>が<ruby>衝突<rt>しょうとつ</rt></ruby>したの。,
dialog,シオリン1,そ、そんなに！？  ものすごく<ruby>大<rt>おお</rt></ruby>きな<ruby>戦<rt>たたか</rt></ruby>いだったのね。,
dialog,サリー1,"そうよ。その<ruby>規模<rt>きぼ</rt></ruby>から「<ruby>天下分<rt>てんかわ</rt></ruby>け<ruby>目<rt>め</rt></ruby>の<ruby>戦<rt>たたか</rt></ruby>い」と<ruby>呼<rt>よ</rt></ruby>ばれることもあるわ。
それに<ruby>戦<rt>たたか</rt></ruby>いの<ruby>前<rt>まえ</rt></ruby>と<ruby>後<rt>あと</rt></ruby>で、<ruby>当時<rt>とうじ</rt></ruby>の<ruby>政治<rt>せいじ</rt></ruby>の<ruby>中心<rt>ちゅうしん</rt></ruby>が<ruby>大<rt>おお</rt></ruby>きく<ruby>変<rt>か</rt></ruby>わるの。",
dialog,ハマボウ1,たしか……<ruby>豊臣<rt>とよとみ</rt></ruby>から<ruby>徳川<rt>とくがわ</rt></ruby>に<ruby>変<rt>か</rt></ruby>わるんでしたよね？,
dialog,サリー1,その<ruby>通<rt>とお</rt></ruby>り。<ruby>関白<rt>かんぱく</rt></ruby>になって<ruby>大坂<rt>おおさか</rt></ruby><ruby>城<rt>しろ</rt></ruby>を<ruby>築<rt>きず</rt></ruby>いた<ruby>豊臣秀吉<rt>とよとみひでよし</rt></ruby>は<ruby>一<rt>いち</rt></ruby><ruby>時<rt>とき</rt></ruby><ruby>的<rt>てき</rt></ruby>に<ruby>日本<rt>にほん</rt></ruby><ruby>全国<rt>ぜんこく</rt></ruby>を<ruby>統<rt>むね</rt></ruby><ruby>一<rt>いち</rt></ruby>するんだけど、1598<ruby>年<rt>ねん</rt></ruby>に<ruby>亡<rt>な</rt></ruby>くなってしまうわ。この<ruby>時<rt>とき</rt></ruby>、<ruby>後継者<rt>こうけいしゃ</rt></ruby>に<ruby>選<rt>えら</rt></ruby>ばれた<ruby>秀頼<rt>ひでより</rt></ruby>は、わずか7<ruby>歳<rt>さい</rt></ruby>。この<ruby>秀頼<rt>ひでより</rt></ruby>を<ruby>補佐<rt>ほさ</rt></ruby>するように<ruby>指示<rt>しじ</rt></ruby>されたのが、<ruby>石田三成<rt>いしだみつなり</rt></ruby>を<ruby>初<rt>はじ</rt></ruby>めとする<ruby>五<rt>ご</rt></ruby><ruby>奉行<rt>ぶぎょう</rt></ruby>と<ruby>徳川<rt>とくがわ</rt></ruby><ruby>家康<rt>いえやす</rt></ruby>を<ruby>筆頭<rt>ひっとう</rt></ruby>とする<ruby>五<rt>ご</rt></ruby><ruby>大老<rt>たいろう</rt></ruby>よ。,
split,,なしなしなしなしなしなし,
dialog,シュン1,あれ？  もしかして、ここで<ruby>三成<rt>みつなり</rt></ruby>と<ruby>家康<rt>いえやす</rt></ruby>は<ruby>対立<rt>たいりつ</rt></ruby>したってことか？,
dialog,サリー1,いいえ。そこまで<ruby>単純<rt>たんじゅん</rt></ruby>な<ruby>話<rt>はなし</rt></ruby>でもないの。<ruby>五<rt>ご</rt></ruby><ruby>奉行<rt>ぶぎょう</rt></ruby>と<ruby>五<rt>ご</rt></ruby><ruby>大老<rt>たいろう</rt></ruby><ruby>以外<rt>いがい</rt></ruby>にも<ruby>大谷吉継<rt>おおたによしつぐ</rt></ruby>、<ruby>小西<rt>こにし</rt></ruby><ruby>行長<rt>ゆきなが</rt></ruby>、<ruby>福島<rt>ふくしま</rt></ruby><ruby>正則<rt>まさのり</rt></ruby>、<ruby>加藤<rt>かとう</rt></ruby><ruby>清正<rt>きよまさ</rt></ruby>ら<ruby>有力<rt>ゆうりょく</rt></ruby>な<ruby>豊臣家<rt>とよとみけ</rt></ruby><ruby>臣<rt>しん</rt></ruby>は<ruby>多<rt>おお</rt></ruby>くいたわ。それぞれが<ruby>秀吉<rt>ひでよし</rt></ruby><ruby>亡<rt>な</rt></ruby>き<ruby>後<rt>あと</rt></ruby>の<ruby>政治<rt>せいじ</rt></ruby><ruby>運用<rt>うんよう</rt></ruby>を<ruby>巡<rt>めぐ</rt></ruby>って<ruby>独自<rt>どくじ</rt></ruby>の<ruby>思想<rt>しそう</rt></ruby>と<ruby>行動<rt>こうどう</rt></ruby>を<ruby>取<rt>と</rt></ruby>っていたようね。<ruby>秀頼<rt>ひでより</rt></ruby>が<ruby>生<rt>う</rt></ruby>まれて<ruby>邪魔<rt>じゃま</rt></ruby>になってしまった<ruby>豊臣<rt>とよとみ</rt></ruby><ruby>秀次<rt>ひでつぐ</rt></ruby>を<ruby>排除<rt>はいじょ</rt></ruby>した<ruby>秀次<rt>ひでつぐ</rt></ruby><ruby>事件<rt>じけん</rt></ruby>や、<ruby>攻<rt>せ</rt></ruby>めるだけ<ruby>攻<rt>せ</rt></ruby>めて<ruby>何<rt>なに</rt></ruby>の<ruby>利益<rt>りえき</rt></ruby>も<ruby>得<rt>え</rt></ruby>られなかった<ruby>文禄<rt>ぶんろく</rt></ruby>・<ruby>慶長<rt>けいちょう</rt></ruby>の<ruby>役<rt>やく</rt></ruby>も<ruby>関係<rt>かんけい</rt></ruby>しているとされるわ。,
dialog,ハマボウ1,それって、<ruby>東軍<rt>とうぐん</rt></ruby>と<ruby>西軍<rt>せいぐん</rt></ruby>に<ruby>分<rt>わ</rt></ruby>かれたのって<ruby>偶然<rt>ぐうぜん</rt></ruby>に<ruby>近<rt>ちか</rt></ruby>いのかな？,
dialog,サリー1,そうね。たしかに<ruby>徳川<rt>とくがわ</rt></ruby><ruby>家康<rt>いえやす</rt></ruby>は<ruby>秀吉<rt>ひでよし</rt></ruby>と、<ruby>秀吉<rt>ひでよし</rt></ruby>と<ruby>親友<rt>しんゆう</rt></ruby>だった<ruby>前田<rt>まえだ</rt></ruby><ruby>利家<rt>としいえ</rt></ruby>が<ruby>亡<rt>な</rt></ruby>くなってから、<ruby>他大<rt>ただい</rt></ruby><ruby>名<rt>めい</rt></ruby>との<ruby>婚姻<rt>こんいん</rt></ruby>や<ruby>他大<rt>ただい</rt></ruby><ruby>名<rt>めい</rt></ruby>の<ruby>加増<rt>かぞう</rt></ruby>を<ruby>勝手<rt>かって</rt></ruby>に<ruby>行<rt>い</rt></ruby>って、<ruby>不信感<rt>ふしんかん</rt></ruby>は<ruby>抱<rt>いだ</rt></ruby>かれていたみたいだけど、<ruby>家康<rt>いえやす</rt></ruby>と<ruby>三成<rt>みつなり</rt></ruby>が<ruby>最初<rt>さいしょ</rt></ruby>から<ruby>敵対<rt>てきたい</rt></ruby>していた<ruby>訳<rt>わけ</rt></ruby>では<ruby>無<rt>な</rt></ruby>いの。,
dialog,シオリン1,そう<ruby>単純<rt>たんじゅん</rt></ruby>な<ruby>話<rt>はなし</rt></ruby>でもなかったのね……。<ruby>教科書<rt>きょうかしょ</rt></ruby>からじゃ<ruby>分<rt>わ</rt></ruby>からないことだらけだわ……。,
split,,なしなしなしなしなしなし,
title,,<ruby>関ヶ原<rt>せきがはら</rt></ruby><ruby>前夜<rt>ぜんや</rt></ruby>,
image,,なしなしなしなしなしなし,三成暗殺計画
