種類,キャラクター,テキスト,画像
title,,関ヶ原概要編,
image,,なしなしなしなしなしなし,関ヶ原の位置＋西軍8万vs東軍7万
dialog,サリー1,関ヶ原の戦いっていうのは、ちょうど世紀が変わる旧暦1600年の9月15日、今で言うところの1600年10月21日に、岐阜県の西の端っこ、関ケ原という場所で起きた、大きな戦いよ。徳川家康率いる東軍約7万人と、総大将毛利輝元の代わりとして石田三成が率いた西軍約8万人が衝突したの。,
dialog,シオリン2,そ、そんなに！？　ものすごく大きな戦いだったのね。,
dialog,サリー1,"そうよ。その規模から「天下分け目の戦い」と呼ばれることもあるわ。
それに戦いの前と後で、当時の政治の中心が大きく変わるの。",
dialog,ハマボウ7,たしか……豊臣から徳川に変わるんだったよね？,
dialog,サリー1,その通り。関白になって大坂城を築いた豊臣秀吉は一時的に日本全国を統一するんだけど、1598年に亡くなってしまうわ。この時、後継者に選ばれた秀吉の息子、秀頼はわずか7歳。この秀頼を補佐するように指示されたのが、石田三成をはじめとする五奉行と徳川家康を筆頭とする五大老よ。,
split,,なしなしなしなしなしなし,
dialog,シュン3,あれ？　もしかして、ここで三成と家康は対立したってことか？,
dialog,サリー2,いいえ。そこまで単純な話でもないの。五奉行と五大老以外にも大谷吉継、小西行長、福島正則、加藤清正のように有力な豊臣家臣は多くいたわ。それぞれが秀吉亡き後の政治運用を巡って独自の思想と行動を取っていたようね。秀頼が生まれて邪魔になってしまった豊臣秀次を排除した秀次事件や、攻めるだけ攻めてなんの利益も得られなかった文禄・慶長の役も関係しているとされるわ。,
dialog,ハマボウ5,東軍と西軍に分かれたのって偶然に近いのかな？,
dialog,サリー1,そうね。たしかに徳川家康は秀吉と、秀吉と親友だった前田利家が亡くなってから、他大名との婚姻や他大名の加増を勝手に行って、不信感は抱かれていたみたいだけど、家康と三成が最初から敵対していた訳では無いの。,
dialog,シオリン4,そう単純な話でもなかったのね……。教科書からじゃ分からないことだらけだわ……。,
split,,なしなしなしなしなしなし,
title,,関ヶ原前夜,
image,,なしなしなしなしなしなし,三成暗殺計画
dialog,サリー1,でも、細川忠興、福島正則、黒田長政、藤堂高虎を含む7人の武将が石田三成の屋敷を襲撃したことで一気に流れは変わるわ。,
dialog,ハマボウ5,たしかに、この4人はみんな東軍、襲われた三成は西軍だ……！,
dialog,サリー1,"そして、この事件の裁定をしたのが家康だったのよ。これによって三成は大坂城を去って居城の佐和山で蟄居させられて政治に関われなくなってしまうわ。
逆に、どんどん権力を増す家康を警戒した大野治長たちが家康を暗殺しようとしたことで、家康は大坂城に乗り込んで、自らの安全のために、という名目で大坂城から指揮をとりはじめてしまうの。",
image,,なしなしなしなしなしなし,家康暗殺計画
dialog,シュン3,あれ？　大坂城は豊臣の城じゃなかったか？,
dialog,サリー2,そう。豊臣の城から徳川が指揮するようになったことで家康のことを誰も止められなくなったから、家康は各地の大名を味方に引き込むわ。一方で、それに不満を持つ大名もいたの。上杉景勝ね。,
split,,なしなしなしなしなしなし,
dialog,シュン4,直江状だ……！,
dialog,サリー1,家康の専横を糾弾した直江状を受け取った家康は、福島県の会津地方を領地にしていた上杉景勝を征伐することにするわ。,
image,,なしなしなしなしなしなし,上杉征伐に向かう家康
dialog,シオリン1,たしか、徳川と上杉だと、倍以上の石高差だったと思うけど……。上杉は大丈夫だったのかしら？,
split,,なしなしなしなしなしなし,
title,,関ヶ原へ,
image,,なしなしなしなしなしなし,内府違いの条々
dialog,サリー1,"先に言っておくと、上杉と徳川は直接戦わなかったわ。なぜかというと、家康がいなくなった畿内で、石田三成が内府ちがいの条々を掲げて挙兵したからよ。
家康は、これを受けて上杉ではなく三成を討とうとするわ。",
dialog,シュン3,でも上杉征伐軍には、そんなに味方いないんじゃないか？,
dialog,サリー2,この時点で家康は味方になってくれそうな人のほとんどに密約を持ちかけていたのよ。だから会津に向かう途中にある栃木県の小山で評定を開いた時には、ほとんどの将が家康に味方することを宣言したの。,
dialog,シオリン2,東軍のできあがりね。,
image,,なしなしなしなしなしなし,東軍オールスターズ
dialog,サリー1,"一方の石田三成は大谷吉継と相談して、このままでは豊臣が徳川に乗っ取られてしまうと嘆き、立ち上がることを決心したのよ。
同じ五大老として、家康の権勢に不満を持っていた毛利輝元、秀吉の親族として誇りを持っていた宇喜多秀家に声をかけたわ。",
split,,なしなしなしなしなしなし,
dialog,ハマボウ6,西軍が揃ったんだね。,
image,,なしなしなしなしなしなし,西軍オールスターズ
dialog,サリー1,"西軍は手始めに家康が京都での政治の根城にしていた伏見城を攻め落とすわ。その後、伊勢の安濃津を攻略。
一方の東軍は、すぐに軍を返して、岐阜城を攻撃してわずか3日で落としてしまったのよ。",
dialog,シュン3,信長が苦労して手に入れた岐阜城が、あっという間に……。,
dialog,サリー2,こうして、三成が拠点にしていた大垣城の中と外で東軍と西軍はにらみ合うことになるの。,
split,,なしなしなしなしなしなし,
title,,関ヶ原本戦,
dialog,サリー1,でも三成は味方のはずの小早川秀秋が、いきなり大垣城の背後の松尾山を奪って布陣したことで、大垣城を出て関ケ原に布陣することを決めるわ。,
dialog,ハマボウ5,西軍なのに、勝手に行動してたんだ……。,
dialog,サリー2,東軍も関ケ原に布陣。そして、9月15日の午前8時頃、霧の中で西軍の宇喜多秀家隊と東軍の松平忠吉・井伊直政隊が衝突したことで、戦いが始まるわ。,
dialog,ハマボウ7,霧の中ってことは、偶然始まったってことかな？,
dialog,サリー1,そうね。最初に戦うのは福島正則の予定だったそうよ。戦いは最初、西軍有利で進んでいたの。宇喜多秀家、小西行長、大谷吉継らが奮戦していたと言われるわ。,
dialog,シュン4,あれ？　総大将のはずの毛利輝元は？,
dialog,サリー1,決戦場の関ケ原に来なかったわ。それだけじゃなくて輝元の従兄弟の吉川広家は東軍の背後という絶好の場所にいながら全く動かなかったの。そのせいで広家の後ろにいた毛利秀元や長宗我部盛親は前に出られなくなってしまったわ。,
split,,なしなしなしなしなしなし,
image,,なしなしなしなしなしなし,動かない南宮山の西軍
dialog,シオリン4,この人数、25000人はいそうね……。そんなに多くの人数が動けなくなっていたのね……。,
dialog,サリー2,そして決着をつけたのは、やっぱり小早川秀秋ね。秀吉の親族でありながら冷遇されていた秀秋は西軍を裏切って、大谷吉継の横から猛攻撃を浴びせたわ。,
image,,なしなしなしなしなしなし,松尾山から襲撃
dialog,シュン3,前から東軍来てんのに、横からも来たんじゃひとたまりもないぜ……。,
dialog,サリー2,"そう、持ちこたえられなくなった大谷隊が壊滅したことで西軍は総崩れ。わずか6時間で敗北が決まってしまったわ。
でも西軍が次々と撤退していく中で、島津義弘とその甥の豊久は、猛追してくる東軍の井伊直政や松平忠吉に手傷を負わせて一矢報いたのよ。",
split,,なしなしなしなしなしなし,
title,,関ヶ原の後処理,
dialog,シオリン2,負けちゃった西軍はどうなったの……？,
image,,なしなしなしなしなしなし,西軍の人物のその後
dialog,サリー2,世紀の大戦に負けた西軍は悲惨な目に遭うわ。大谷吉継は総崩れした時に負けを悟って自刃。指揮をした三成、6時間戦い続けた小西行長、毛利輝元を総大将に担ぎ上げた安国寺恵瓊の3人は京都六条河原で斬首。主力として頑張った宇喜多秀家は逃亡を続けたのだけど、見つかってしまって遠い遠い八丈島まで流されてしまったの。西軍についた他の多くの武将たちの領土は取り上げられたり減らされたりしたわ。,
dialog,シュン3,改易とか減封とかいうやつか……。,
dialog,サリー1,そして、その領地は東軍についた人たちに分け与えられたの。でも、ただ分け与えたんじゃなくて、家康はこれから自分の時代になる時に、諸大名が反乱を起こしても対応できるように要地から離れた所に外様大名を移動させて、江戸や京都といった要地に近い所を譜代大名で固めるようにしたのよ。,
dialog,ハマボウ6,たしかに……そうすれば反乱を起こされても対処しやすそう。,
dialog,サリー1,そうね。家康は関ヶ原の後、1603年に征夷大将軍となって江戸幕府を開くのだけど、265年という長きにわたって安定していたのも、そのお陰だと言えそうね。,
split,,なしなしなしなしなしなし,
title,,小話。関ヶ原の外の関ヶ原,
dialog,シュン2,そういえば、関ヶ原の時って長野の上田で真田が戦っていたような？,
dialog,サリー1,よく知ってるわね。関ヶ原は全国の大名が東軍西軍に分かれたから、各地で戦が起きたわ。まず長野県にある上田城では、西軍についた真田昌幸が、中山道を通って関ヶ原に向かおうとする徳川秀忠軍38000を釘付けにしたわ。第二次上田合戦ね。,
dialog,シュン1,たしか上田城には2000人ぐらいしかいなかったんだよな。凄いぜ！,
dialog,サリー1,"他にも徳川軍が去った後の東北では、西軍の上杉景勝と、東軍についた伊達政宗と最上義光が小競り合いをしていたわ。慶長出羽合戦というの。
伊達政宗は家康と婚姻関係で、最上義光は娘を殺された恨みが豊臣家にあったのよ。",
dialog,ハマボウ7,そんな所まで家康は手を回していたんだね。,
dialog,サリー1,九州の方でも大きな戦いがあったわ。息子の黒田長政を関ケ原に送り出し、自分は国許に残った黒田官兵衛は九州で西軍についた各将の城を奪っていったわ。一説には一揆で弱っていた薩摩まで奪い、九州を統一しようとしたみたいね。,
dialog,ハマボウ5,もしかして……官兵衛は天下を狙おうとしていたのかな？,
dialog,サリー2,あの官兵衛だからありうるわね。結局、関ヶ原は6時間で終わってしまったのだけど、その前後も含めて、四国や北陸でも戦いがあったのよ。よければ調べてみるといいわ。,
dialog,3人1,はーい！,
split,,なしなしなしなしなしなし,
title,,関ケ原古戦場,
image,,なしなしなしなしなしなし,古戦場記念館
dialog,ジェンキンス2,このコーナーでは関ヶ原を戦った諸将のゆかりの地を、ここ岐阜関ケ原古戦場記念館から紹介する。記念館には武将の甲冑や書状だけでなく、関ヶ原をリアルに体感できるシアターがある。そして、この大窓からは関ケ原全体を見渡すことができるぞ。,
image,,なしなしなしなしなしなし,開戦地
dialog,スクナ1,ここが、関ヶ原の開戦地と呼ばれているところだな。朝霧の中、東軍の松平忠吉と井伊直政が西軍の宇喜多秀家に発砲して、関ヶ原の戦いが始まったと言われる。,
image,,なしなしなしなしなしなし,徳川家康最後陣地
dialog,サトリ1,西軍有利で始まった関ヶ原の戦況を好転させるために、本陣を前進させた所が、ここ徳川家康最後陣地よ。戦後の首実検や論功行賞もこの場所でやったとされているわね。,
split,,なしなしなしなしなしなし,
image,,なしなしなしなしなしなし,徳川家康最初陣地
dialog,シオリン3,家康が最初に布陣したのは、ここ、桃配山・徳川家康最初陣地よ。かつてこのあたりで壬申の乱が起きた時に、壬申の乱を制した側の大海人皇子が自分の兵士に桃を配って、やる気を出させたんだって。それに家康はあやかったのかもしれないわ。,
image,,なしなしなしなしなしなし,笹尾山
dialog,ハマボウ6,ここ、関ケ原全体が見渡せるね。西軍の指揮をした三成は、この笹尾山に布陣したんだ。後ろに伊吹山、正面には中山道が見えるね。,
image,,なしなしなしなしなしなし,松尾山
dialog,シュン1,そして、南側の松尾山には東軍の勝ちを決めた小早川秀秋が布陣したんだぜ。ここには小さい城があって、秀秋は松尾山を駆け下りて麓にいた大谷吉継を切り崩したんだ！,
